,TIME,lamdaFL,lamdaFR,lamdaRL,lamdaRR,fxFL,tauFR,tauRL,tauRR,AX,AY,AngACC,X,Y,R,PSI
411,1.515,0.0616976027853049,0.0624290890803496,0.096097790442473,0.096097790442473,3360.917852885581,-0.0347908149068298,0.006685553646245,0.0073425081492206,0.385910965899984,0.0299203821907707,-0.721236872926083,76.1661316850822,-145.628146460312,0.28042283764312,1.85324052972956
412,1.5151037901286,0.0616985142534291,0.0624243600251869,0.0961040318244914,0.0961040318244914,3360.3615462076805,-0.0347536865597969,0.0066780478311237,0.0073340055427197,0.38717176512553,0.0231324914274238,-0.791083302330876,76.1659686354897,-145.627740781865,0.280344352227099,1.85326963078423
413,1.5152075802572,0.0616993837115115,0.0624166716971709,0.0961115134023975,0.0961115134023975,3359.797606448745,-0.0347123461112568,0.0066695224459212,0.0073243667112126,0.388349372895252,0.0167765108480939,-0.856395731043822,76.1658055722431,-145.627335064772,0.280258933473153,1.85329872320962
414,1.51572653090019,0.0617034816342811,0.0623461842978576,0.0961631586599651,0.0961631586599651,3356.843109239661,-0.0344525964804116,0.0066141455876669,0.007261970714168,0.393147617427733,-0.0094889813641166,-1.12455822154083,76.1649900730683,-145.625305888664,0.27974462673575,1.85344403074106
415,1.51624548154318,0.0617080904397689,0.0622514326640005,0.096228131770924,0.096228131770924,3353.5936891281235,-0.0341245258552611,0.0065426442397514,0.0071816313266543,0.396472608418755,-0.0284605152626366,-1.31468965203709,76.1641743114452,-145.62327570709,0.279118352019573,1.85358903235038
416,1.51727261072823,0.0617215047476133,0.0620878509754119,0.0963612050183278,0.0963612050183278,3345.9474881087217,-0.0333397968625962,0.0063706708548727,0.0069888134730764,0.399972018735964,-0.0506849173306513,-1.5256836095809,76.1625590824729,-145.61925445537,0.277658707948836,1.85387497433188
417,1.51829973991328,0.0617416688402541,0.0620369431171778,0.0964697191050295,0.0964697191050295,3336.0531910488426,-0.0324711066377628,0.0061831640364877,0.0067788921108598,0.401376299065796,-0.0615220622638669,-1.6138277337827,76.1609431896026,-145.615229090611,0.276067091925035,1.85415932603714
418,1.51994159046565,0.0617825121104773,0.0621001401412278,0.0966281227798959,0.0966281227798959,3314.8903232922075,-0.0310117121991559,0.0058776198774436,0.0064372986059344,0.40145499809218,-0.0649748781936157,-1.60790896427753,76.1583589971481,-145.608785990196,0.273421618090715,1.85461041434647
419,1.52158344101803,0.0618251936547875,0.0621177935989843,0.0968691808039832,0.0968691808039832,3287.256055182486,-0.0295828565552576,0.0055940688541893,0.0061206277349873,0.400890914709304,-0.062835453633016,-1.54612252739458,76.1557734350571,-145.602332241519,0.270847460022154,1.85505723781748
420,1.52380701453283,0.061885421893476,0.0620204687471915,0.0973684362046926,0.0973684362046926,3241.7644636485784,-0.0277404400990234,0.0052550716175592,0.0057423316282226,0.399359492278423,-0.0557960136176573,-1.42212769778601,76.1522695160485,-145.593574943573,0.267547433575782,1.85565581367081
421,1.52603058804762,0.0619473383231074,0.0619259539180742,0.0979834206960222,0.0979834206960222,3193.441422698897,-0.0260414684764773,0.0049747142252877,0.0054295169122007,0.397524513564889,-0.0485470164445391,-1.30027583972386,76.1487626946196,-145.584798338483,0.264519934434819,1.85624745863548
422,1.52801529402381,0.0620013170255967,0.061883927316028,0.0985520428797751,0.0985520428797751,3151.182660635397,-0.0246467740947019,0.0047716451729018,0.0052027667814626,0.395985880650998,-0.0421212659411606,-1.1976781074643,76.1456299803194,-145.576948344162,0.262041233820415,1.85676999039688
423,1.53,0.0620451849900501,0.0618509602191819,0.099041381649453,0.099041381649453,3115.7431387008,-0.0233506808649468,0.004607023326201,0.0050186740847058,0.394703790149096,-0.0359885429220391,-1.10466927250812,76.1424944762765,-145.569083231974,0.259753366565404,1.85728785702333
424,1.53370361235055,0.0620717489967758,0.0619210190816834,0.0996857789911801,0.0996857789911801,3075.183553738099,-0.0281297057784725,0.0043542716492068,0.0047356274104506,0.394275686354035,-0.0383749214233289,-1.08436223370747,76.136635656531,-145.554366069227,0.255702360885006,1.85824238622492
425,1.53740722470111,0.062057111534503,0.0618106060369282,0.0998636743307444,0.0998636743307444,3070.5139860879144,-0.0257379714449728,0.0040984544616274,0.004449935225071,0.395874982528576,-0.0507576770563123,-1.16946189327124,76.1307673379984,-145.539596295306,0.251464152045442,1.85918144645161
426,1.54111083705166,0.0620310990004797,0.0619351913098601,0.0996160739424943,0.0996160739424943,3095.408506042796,-0.0302788770160922,0.0038241233987882,0.0041447718764324,0.397060421700688,-0.06535057711311,-1.27548465197091,76.1248904060912,-145.524773547901,0.246935319560207,1.86010439433786
427,1.54481444940221,0.0619658280730418,0.0618462660508005,0.0991124473514063,0.0991124473514063,3130.577662786689,-0.0275335895975953,0.0035271541070971,0.0038158244707115,0.398546608631308,-0.0771902506615384,-1.35158979536234,76.1190068039127,-145.509896998741,0.242088503205502,1.86100977828021
428,1.5524072247011,0.0620227185395409,0.0621045528177693,0.0983700661633138,0.0983700661633138,3180.144989278015,-0.0360987826460099,0.0028826367841392,0.0031060911379411,0.398637058355907,-0.0979518361816867,-1.46580136322776,76.1069292492619,-145.479228293335,0.231390945565035,1.86280733094047
429,1.56,0.0619456905593692,0.0617893479069389,0.0987050825627893,0.0987050825627893,3155.863199075297,-0.0296398440076985,0.002226427374636,0.0023889939867879,0.400111837815452,-0.115971459273376,-1.55432131400343,76.0948408841714,-145.448326943013,0.219957338621081,1.86451990625888
430,1.56969112835442,0.0622965173600024,0.0617276928351158,0.1006059175107432,0.1006059175107432,3028.162806914724,-0.0478431632938156,0.0009496605668497,0.0010122917704414,0.404135371913171,-0.207173652913907,-2.31783981887339,76.0794223360408,-145.408538244135,0.201125843850041,1.86656037349416
431,1.57938225670885,0.0622625219485794,0.0612389234921722,0.1027470079699477,0.1027470079699477,2901.77888374265,-0.0366290205498803,-0.0002736815039123,-0.0002897399848546,0.40176504559647,-0.206055821840986,-2.1203128040385,76.0640559254442,-145.368346460251,0.181149500286379,1.86841089127833
432,1.58469112835442,0.0623436916210856,0.0613326286246687,0.1036100195764963,0.1036100195764963,2859.280710666427,-0.0307438168600624,-0.0007656292228898,-0.0008077291216986,0.398629774027041,-0.178628367746913,-1.75153834377524,76.0556615874913,-145.346158001134,0.170873447659609,1.86934524345912
433,1.59,0.0622864587442206,0.0614023046384749,0.1034516245279387,0.1034516245279387,2876.379734252274,-0.0257958994676247,-0.0009783082803717,-0.0010291190541906,0.396170565108328,-0.15185061878723,-1.42836715407699,76.0472808608914,-145.32385013319,0.162392718939648,1.87023144225341
434,1.59792932145604,0.0623736707365373,0.0617489648791195,0.1017251886896126,0.1017251886896126,2984.687114293228,-0.0348607655315712,-0.0010792197728349,-0.0011309639901008,0.393683243355638,-0.150488608784849,-1.38538630471115,76.0347819842813,-145.290311727819,0.151244146006743,1.87147493819101
435,1.60585864291208,0.0620726892501054,0.0615254247697844,0.1002116226683704,0.1002116226683704,3074.4010716295493,-0.0281995753166978,-0.0012890808613589,-0.0013456047583621,0.394163167204317,-0.165470728981307,-1.51055284334034,76.0223036927339,-145.256511985664,0.139544178328191,1.8726270972684
436,1.61292932145604,0.0622918530967464,0.0617525194369338,0.0998559382598203,0.0998559382598203,3090.78177129732,-0.035900988209395,-0.0015829157200313,-0.0016463319480264,0.392110681445267,-0.17873494349137,-1.6109751554682,76.0111973262718,-145.226151104608,0.128506145771405,1.87357476884624
437,1.62,0.0621679796275476,0.0614183550296901,0.1008069399552746,0.1008069399552746,3030.318681598618,-0.0295437645762441,-0.0019459808086564,-0.0020164248584094,0.392140184429628,-0.187417567833151,-1.65368065072436,76.000117223818,-145.19558013246,0.117031098886572,1.8744423188921
438,1.63190340745874,0.0627612956288016,0.0616878601662561,0.1032519504977738,0.1032519504977738,2897.559014214353,-0.0419357414382246,-0.0026291249405081,-0.0027071136956241,0.387692621434865,-0.199662787522701,-1.68193018009078,75.9815328711347,-145.143637952455,0.097166357584957,1.87571718107587
439,1.64380681491749,0.0623530910916241,0.0612086485532616,0.1038861222815049,0.1038861222815049,2876.116412326872,-0.0310664648322695,-0.0033193740085068,-0.0033964466322619,0.387600188509829,-0.211468869441175,-1.70077411304531,75.9630530695214,-145.091095420439,0.077046102206101,1.8767535425689
440,1.64690340745874,0.0624380586767582,0.0613269845982222,0.103693654891088,0.103693654891088,2889.3080725888494,-0.0342795485081502,-0.0034989552645709,-0.0035743888514317,0.386479301073488,-0.214385056918492,-1.70238536672053,75.9582633272308,-145.077328358325,0.0717758730657355,1.87698396321102
441,1.65,0.0623139074361413,0.0612346863696938,0.1033535216527762,0.1033535216527762,2907.4177378095483,-0.0314186409121738,-0.0036771604951758,-0.0037503656929902,0.386457522337249,-0.217255339056007,-1.70470694183923,75.9534818805138,-145.063520511187,0.0664998160189266,1.87719805198124
442,1.665,0.0628463590440854,0.0618535011499234,0.1025950738731403,0.1025950738731403,2952.3606481288166,-0.0466075049901916,-0.004535852887383,-0.0045905080436024,0.38013214270728,-0.229609990181494,-1.70699579446712,75.9304471270037,-144.996056931729,0.0408920854310681,1.87800348200291
443,1.68,0.0622901053880862,0.0612001371456956,0.1034209376238616,0.1034209376238616,2915.11581414454,-0.033126494746196,-0.0053874970651964,-0.0054115199184511,0.37960536968805,-0.240249683851385,-1.69878192846835,75.9076428811175,-144.927634833488,0.0153680511082016,1.87842563918788
444,1.695,0.0629067338402608,0.0617593759097469,0.1046569379755661,0.1046569379755661,2859.87002610585,-0.0480863774465633,-0.0062233120816285,-0.0062056500198106,0.373419369386637,-0.24893917685945,-1.67096476904039,75.8850847157934,-144.858254300069,-0.0099300780493798,1.87846637898074
445,1.71,0.0622937168418852,0.0611585674256623,0.1049079227291139,0.1049079227291139,2856.238774041208,-0.0350737922354786,-0.0070347658086859,-0.0069657793510221,0.373067373738411,-0.25752715737072,-1.64576685696415,75.8628020831966,-144.787916215039,-0.0348205144374148,1.87813175376732
446,1.725,0.0627781811105536,0.0618123675388974,0.1047119816808813,0.1047119816808813,2873.700668423637,-0.049739608239552,-0.0078279169523251,-0.0076990847440306,0.367040183011981,-0.265030583293519,-1.61226686691088,75.8408081328121,-144.716621501309,-0.0592830115579294,1.87742592221895
447,1.74,0.0622008102778049,0.0612056044086205,0.1050343052781861,0.1050343052781861,2864.766168291093,-0.0372612628387888,-0.008611125127262,-0.0084148820739684,0.366724456763296,-0.272212872551563,-1.58097413159344,75.8191283744367,-144.64437254646,-0.0832463370481431,1.87635818166568
448,1.755,0.0627071854007935,0.0618722985973271,0.105671636904063,0.105671636904063,2841.09621466542,-0.0514652111507232,-0.0093818368246595,-0.0091116646201245,0.361053997444825,-0.277646894386165,-1.53395904382381,75.7977732412811,-144.571170733862,-0.106638276874666,1.87493397676679
449,1.77,0.062138492123407,0.0612495956722876,0.1060844546425425,0.1060844546425425,2831.5657600493346,-0.0395808833011313,-0.0101392244870127,-0.0097896265960542,0.361031738136294,-0.283675291561286,-1.49619553238987,75.7767660176833,-144.497019863342,-0.129393431936916,1.87316530748112
450,1.77009041768642,0.0621403568923898,0.0612528174624917,0.106086155388333,0.106086155388333,2831.5515626578235,-0.03966656905819,-0.010143760782539,-0.0097936686295934,0.361004498614932,-0.283708844730919,-1.49586286321934,75.7766404442975,-144.496570015674,-0.129528700554647,1.87315360191101
451,1.77018083537284,0.0621372693643132,0.0612493837918014,0.1060875732529991,0.1060875732529991,2831.5386284229203,-0.0395946057839107,-0.01014829483436,-0.0097977083218776,0.361009800437176,-0.283746711401012,-1.49558048499093,75.7765148840077,-144.496120133602,-0.129663941378764,1.87314188411191
452,1.77063292380495,0.0621469819074756,0.0612653503223852,0.1060909149088152,0.1060909149088152,2831.492432953958,-0.0400239366073851,-0.0101709345094209,-0.0098178746279204,0.360864998190124,-0.283909976646383,-1.49394170295103,75.7758872791359,-144.493870207189,-0.130339733485422,1.87308311178282
453,1.77108501223706,0.0621322109462771,0.0612480731670616,0.1060892974366648,0.1060892974366648,2831.475803405066,-0.0396647221898863,-0.0101935306699218,-0.0098379945302988,0.3608744110518,-0.28409227959888,-1.49259231393357,75.7752600022278,-144.491619420726,-0.131014853333548,1.87302403414004
454,1.7733454543976,0.0621873935475561,0.0613365209996474,0.1060559211989867,0.1060559211989867,2831.7656685251886,-0.0417961846768891,-0.0103061191896222,-0.0099381488124686,0.35999333097731,-0.28485794541552,-1.48504409032945,75.7721285543224,-144.480352591227,-0.134380943854718,1.87272407795956
455,1.77560589655814,0.0621178305114184,0.0612612504741573,0.1060254278219192,0.1060254278219192,2832.49344397025,-0.0400146635649393,-0.0104182879283049,-0.0100377877550931,0.359853136512088,-0.285718309211558,-1.47892147119243,75.7690053762571,-144.469064278256,-0.137731652564567,1.87241653627653
456,1.78510948808063,0.0623510347839609,0.0616715963883281,0.1058855410657503,0.1058855410657503,2835.542886900457,-0.0486990801664719,-0.0108852552833905,-0.0104511058278799,0.355503218099678,-0.288708153914516,-1.44684429436993,75.7559663983703,-144.42137021732,-0.151647043622956,1.87104144770516
457,1.79461307960312,0.0620547972299503,0.0613181702162848,0.1057034189730314,0.1057034189730314,2834.185924930028,-0.0414600633300198,-0.0113443329950338,-0.0108551632828568,0.353700859120707,-0.291988651335491,-1.41883829911054,75.7430790363632,-144.373298867507,-0.165274910242512,1.86953594802413
458,1.79730653980156,0.0621166796129551,0.0614266374973535,0.1056479697252775,0.1056479697252775,2832.9227858414565,-0.0438936826495079,-0.0114730001256352,-0.0109680176585563,0.352113009212808,-0.292725595665701,-1.40914051844392,75.7394542956265,-144.359606196251,-0.169084474678924,1.8690856556936
459,1.8,0.0620430846151593,0.0613321446574106,0.1055962508922369,0.1055962508922369,2831.302156812714,-0.0418567432866485,-0.0116009730193067,-0.0110800945782289,0.351394688630812,-0.293587307743504,-1.40080856211025,75.7358421096968,-144.345883439927,-0.172869677362132,1.86862514651977
460,1.81346730099219,0.0623558349864359,0.06191015176131,0.1051901679509622,0.1051901679509622,2824.755842372258,-0.0534183771753654,-0.0122285052842366,-0.0116271910445778,0.342497645836007,-0.29688217125831,-1.3495591679619,75.7179732417644,-144.276821549903,-0.191415916201631,1.86617210976421
461,1.82693460198439,0.0619787233848885,0.061412007359204,0.1044295181081753,0.1044295181081753,2824.902528050272,-0.0437221470577166,-0.01283268970478,-0.0121499795504971,0.336665663891755,-0.300605110937211,-1.30423775862224,75.7004337587779,-144.20702209491,-0.209307451329907,1.86347522654771
462,1.82846730099219,0.0620076682945368,0.0614741565450871,0.1043208423749361,0.1043208423749361,2825.351161388957,-0.0450168015565435,-0.0128999737830081,-0.0122079660586302,0.335425308129865,-0.300917176107011,-1.29804075141375,75.6984585520259,-144.199031616259,-0.211302021661359,1.86315289258695
463,1.83,0.0619709371793093,0.0614231368872626,0.1042083897993374,0.1042083897993374,2825.8835706399013,-0.0439158331724822,-0.0129669031596438,-0.0122655976282562,0.33466099592237,-0.301312192007872,-1.29268512718683,75.6964877577446,-144.191031738082,-0.213287744365624,1.86282751065725
