TIME,VX,VY,R,Fz_1,Fz_2,Fz_3,Fz_4,omega_1,omega_2,omega_3,omega_4,slip_1,slip_2,slip_3,slip_4,TAU_1,TAU_2,TAU_3,TAU_4,STRA
1.27925162705005e-08,-1.3257748760252e-16,-3.43558848399898e-17,-3.70581596298754e-17,0.0,0.0,6.7228933862459104e-15,6.722893386245931e-15,2.21800780618267e-14,2.2180078061830702e-14,2.21800780618283e-14,2.21800780618331e-14,1.06523669403155e-13,1.0586242599131399e-13,1.06200697237028e-13,1.05422475884823e-13,1.22476062780619e-16,2.4215994425955497e-16,-3.74057558517164e-16,-3.74057558517164e-16,3.01289847826698
2.13208619063385e-08,-3.68270123265382e-16,-9.54328401842568e-17,-1.02939141266575e-16,0.0,0.0,1.86748658248733e-14,1.86748658248735e-14,6.161121491696091e-14,6.161121491699071e-14,6.16112149169731e-14,6.16112149170082e-14,2.95898538788244e-13,2.94061754941278e-13,2.9500139553407e-13,2.92839673567636e-13,3.40210654686671e-16,6.72665249802245e-16,-1.03904678763396e-15,-1.03904678763396e-15,3.01289847826698
6.39625900855284e-08,-3.3143976099900304e-15,-8.58886897081319e-16,-9.26442887934833e-16,0.0,0.0,1.6808127157948998e-13,1.68081271579501e-13,5.5449532982274e-13,5.54495329825273e-13,5.54495329823785e-13,5.54495329826767e-13,2.66305993259077e-12,2.64652904540509e-12,2.65498572496536e-12,2.63553042433269e-12,3.06186488504624e-15,6.0539258078619204e-15,-9.35132585421622e-15,-9.35132585421622e-15,3.01289847826698
1.06604318264718e-07,-9.20656953378281e-15,-2.38577349501585e-15,-2.5734271605350502e-15,0.0,0.0,4.66912361256777e-13,4.6691236125686e-13,1.54024966546857e-12,1.5402496654872198e-12,1.54024966547618e-12,1.54024966549814e-12,7.39731599097422e-12,7.35139731149765e-12,7.37488785694893e-12,7.320845886680459e-12,8.50509660294656e-15,1.6816295143792502e-14,-2.59756494276035e-14,-2.59756494276035e-14,3.01289847826698
3.19812959160668e-07,-8.2854883297331e-14,-2.14708621431614e-14,-2.31596584679721e-14,0.0,0.0,4.20314331792411e-12,4.20314331793111e-12,1.3861537218971499e-11,1.3861537220554698e-11,1.3861537219624899e-11,1.3861537221488099e-11,6.65724351230616e-11,6.615918817620629e-11,6.63705922534551e-11,6.588423943434929e-11,7.654194974652681e-14,1.5133890565733e-13,-2.3376887108390997e-13,-2.3376887108390997e-13,3.01289847826698
5.33021600056617e-07,-2.30141107699218e-13,-5.96383436271187e-14,-6.432921311240661e-14,0.0,0.0,1.1677888720420299e-11,1.1677888720471799e-11,3.85023718817542e-11,3.8502371893410193e-11,3.8502371886516496e-11,3.8502371900234395e-11,1.84914314602361e-10,1.83766463041244e-10,1.84353667609617e-10,1.83002754198469e-10,2.1260604485476e-13,4.20365123356457e-13,-6.49325960290978e-13,-6.49325960290978e-13,3.01289847826698
1.59906480453636e-06,-2.07073889856676e-12,-5.36607473264824e-13,-5.788144660770079e-13,0.0,0.0,1.0521744669539001e-10,1.05217446699758e-10,3.46432498100923e-10,3.464324990899e-10,3.46432498509546e-10,3.4643249967348005e-10,1.6638021195281401e-09,1.65347410849464e-09,1.65875759107706e-09,1.6466024927377102e-09,1.91296371933327e-12,3.7823159421847496e-12,-5.84243508687584e-12,-5.84243508687584e-12,3.01289847826698
2.66510800901611e-06,-5.7506316170812496e-12,-1.49020811552404e-12,-1.6074207643422298e-12,0.0,0.0,2.92581766865855e-10,2.9258176689800303e-10,9.62074777198989e-10,9.62074784478066e-10,9.62074780181562e-10,9.62074788748351e-10,4.620530874785291e-09,4.591849063762191e-09,4.606521760383831e-09,4.572765964433e-09,5.3124751013438595e-12,1.0503837178349001e-11,-1.62249766113531e-11,-1.62249766113531e-11,3.01289847826698
7.99532403141485e-06,-5.1688996865320896e-11,-1.339459227743e-11,-1.4448142442951398e-11,1.10310528080181e-12,1.1031080036201299e-12,2.64776294015434e-09,2.6477629428771503e-09,8.6475155251924e-09,8.647516141746421e-09,8.647515784118761e-09,8.647516509744871e-09,4.15324961266934e-08,4.12746950818976e-08,4.14052731111368e-08,4.11018655164245e-08,4.7750622006831194e-11,9.4412643278427e-11,-1.4583653446938401e-10,-1.4583653446938401e-10,3.01289847826696
1.33255400538136e-05,-1.4340139100549002e-10,-3.7160777522451495e-11,-4.00836315835006e-11,4.82056994962304e-11,4.8205719505149395e-11,7.393634138812991e-09,7.3936341588213e-09,2.39909003585225e-08,2.39909048895034e-08,2.39909022657146e-08,2.3990907598253e-08,1.15224074904068e-07,1.14508867965544e-07,1.14871120770383e-07,1.14029389468255e-07,1.32474869132879e-10,2.61929681903316e-10,-4.04595495167242e-10,-4.04595495167242e-10,3.01289847826698
3.8248948088766e-05,-1.1742612079600901e-09,-3.04296209331724e-10,-3.28228184037371e-10,2.17292447539723e-09,2.1729258554624503e-09,6.24390672556428e-08,6.24390686357488e-08,1.96452303919316e-07,1.96452616532491e-07,1.96452440706535e-07,1.96452808622707e-07,9.43525859167101e-07,9.37670614202775e-07,9.40635902761478e-07,9.33744833078038e-07,1.0847642764791201e-09,2.1448044257796203e-09,-3.3130332769210404e-09,-3.3130332769210404e-09,3.01289847826699
6.31723561237184e-05,-3.1836138975668304e-09,-8.24998111291612e-10,-8.89870650591346e-10,1.05890048936475e-08,1.05890146850409e-08,1.74321377913371e-07,1.7432138770394e-07,5.32612408666747e-07,5.32614626513499e-07,5.32613428306588e-07,5.32616038500741e-07,2.55804362910574e-06,2.54217567609648e-06,2.55020986342088e-06,2.53153479782501e-06,2.9408553631376703e-09,5.814709441641291e-09,-8.98192394481812e-09,-8.98192394481812e-09,3.0128984782671
0.0001156194961344,-1.05369239992419e-08,-2.7305405184443204e-09,-2.9451422004777703e-09,6.46281157202253e-08,6.46282084891763e-08,6.08934385986474e-07,6.08934478754569e-07,1.76278621374428e-06,1.76280722673043e-06,1.7627968151956e-06,1.76282154544372e-06,8.46634968191635e-06,8.41389651158036e-06,8.44043546233365e-06,8.37870323568438e-06,9.73228179118166e-09,1.9243105015598e-08,-2.97253050348014e-08,-2.97253050348015e-08,3.01289847826769
0.000168066636145,-2.19623611184241e-08,-5.69138023402148e-09,-6.138289531181991e-09,2.01784631409347e-07,2.0178504002483e-07,1.34260078604489e-06,1.34260119464851e-06,0.0,0.0,0.0,0.0,4.47939383423644e-07,3.3841060759359e-07,3.93887456853763e-07,2.64983376698948e-07,2.02810344783007e-08,4.01015399910705e-08,-6.19482452380441e-08,-6.19482452380449e-08,3.01289847826911
