TIME,lamdaFL,lamdaFR,lamdaRL,lamdaRR,fxFL,tauFR,tauRL,tauRR
0.120829020891908,0.0,0.0,0.0,0.0,3646.95127850967,0.0,0.0,0.0
0.120909913332581,0.0,0.0,0.0,0.0,3644.5075592208173,0.0,0.0,0.0
0.120990805773254,0.0,0.0,0.0,0.0,3642.0620528816726,0.0,0.0,0.0
0.121049782755229,0.0,0.0,0.0,0.0,3640.278035138533,0.0,0.0,0.0
0.121108759737204,0.0,0.0,0.0,0.0,3638.49327975177,0.0,0.0,0.0
0.121148071169658,0.0,0.0,0.0,0.0,3637.30325501652,0.0,0.0,0.0
0.121187382602111,0.0,0.0,0.0,0.0,3636.112972831643,0.0,0.0,0.0
0.121267415430792,0.0,0.0,0.0,0.0,3633.6890670288035,0.0,0.0,0.0
0.121340910543918,0.0,0.0,0.0,0.0,3631.4627215897945,0.0,0.0,0.0
0.121340910543919,0.0,0.0,0.0,0.0,3631.462721589758,0.0,0.0,0.0
0.121341123645105,0.0,0.0,0.0,0.0,3631.4562655530085,0.0,0.0,0.0
0.121341336746291,0.0,0.0,0.0,0.0,3631.4498095147933,0.0,0.0,0.0
0.121342402252222,0.0,0.0,0.0,0.0,3631.4175293017743,0.0,0.0,0.0
0.121343467758153,0.0,0.0,0.0,0.0,3631.385249053148,0.0,0.0,0.0
0.121347861906789,0.0,0.0,0.0,0.0,3631.2521248905136,0.0,0.0,0.0
0.121352256055425,0.0,0.0,0.0,0.0,3631.1190002223893,0.0,0.0,0.0
0.121374226798607,0.0,0.0,0.0,0.0,3630.453372284825,0.0,0.0,0.0
0.121396197541789,0.0,0.0,0.0,0.0,3629.787743965209,0.0,0.0,0.0
0.121443032594654,0.0,0.0,0.0,0.0,3628.3688604321374,0.0,0.0,0.0
0.121489867647519,0.0,0.0,0.0,0.0,3626.9501081385615,0.0,0.0,0.0
0.121536702700384,0.0,0.0,0.0,0.0,3625.531539096408,0.0,0.0,0.0
0.12158353775325,0.0,0.0,0.0,0.0,3624.1132522384896,0.0,0.0,0.0
0.12164055639388,0.0,0.0,0.0,0.0,3622.3870285201015,0.0,0.0,0.0
0.12169757503451,0.0,0.0,0.0,0.0,3620.66142810879,0.0,0.0,0.0
0.121754593675141,0.0,0.0,0.0,0.0,3618.9365170422193,0.0,0.0,0.0
0.121811612315771,0.0,0.0,0.0,0.0,3617.2124345228594,0.0,0.0,0.0
0.121846262005644,0.0,0.0,0.0,0.0,3616.1651534630632,0.0,0.0,0.0
0.121880911695517,0.0,0.0,0.0,0.0,3615.118243929762,0.0,0.0,0.0
0.121966525785369,0.0,0.0,0.0,0.0,3612.533277955013,0.0,0.0,0.0
0.121975394237095,0.0,0.0,0.0,0.0,3612.265683182414,0.0,0.0,0.0
0.121975394237095,0.0,0.0,0.0,0.0,3612.265683182414,0.0,0.0,0.0
0.121975394237095,0.0,0.0,0.0,0.0,3612.265683182377,0.0,0.0,0.0
0.121975394237095,0.0,0.0,0.0,0.0,3612.265683182377,0.0,0.0,0.0
0.121978713235877,0.0,0.0,0.0,0.0,3612.165537790821,0.0,0.0,0.0
0.121982032234659,0.0,0.0,0.0,0.0,3612.0653968997685,0.0,0.0,0.0
0.122015292267075,0.0,0.0,0.0,0.0,3611.062132267615,0.0,0.0,0.0
0.122048552299492,0.0,0.0,0.0,0.0,3610.059360045751,0.0,0.0,0.0
0.122104663044721,0.0,0.0,0.0,0.0,3608.3688421864745,0.0,0.0,0.0
0.122160773789951,0.0,0.0,0.0,0.0,3606.679975434466,0.0,0.0,0.0
0.12221688453518,0.0,0.0,0.0,0.0,3604.9928512694332,0.0,0.0,0.0
0.12227299528041,0.0,0.0,0.0,0.0,3603.3076438023454,0.0,0.0,0.0
0.122345330508202,0.0,0.0,0.0,0.0,3601.1381226718927,0.0,0.0,0.0
0.122417665735995,0.0,0.0,0.0,0.0,3598.9722171287067,0.0,0.0,0.0
0.122472647404879,0.0,0.0,0.0,0.0,3597.328419847509,0.0,0.0,0.0
0.122507171341515,0.0,0.0,0.0,0.0,3596.297417656821,0.0,0.0,0.0
0.122540768569144,0.0,0.0,0.0,0.0,3595.2949872536547,0.0,0.0,0.0
0.122574365796772,0.0,0.0,0.0,0.0,3594.2934741330123,0.0,0.0,0.0
0.122664166027621,0.0,0.0,0.0,0.0,3591.6213113667973,0.0,0.0,0.0
0.122701404339867,0.0,0.0,0.0,0.0,3590.5153149115336,0.0,0.0,0.0
0.122738642652113,0.0,0.0,0.0,0.0,3589.4106254069884,0.0,0.0,0.0
0.122792915153297,0.0,0.0,0.0,0.0,3587.803019136793,0.0,0.0,0.0
0.122847187654481,0.0,0.0,0.0,0.0,3586.1984097118398,0.0,0.0,0.0
0.122918190461438,0.0,0.0,0.0,0.0,3584.103824231053,0.0,0.0,0.0
0.122989193268396,0.0,0.0,0.0,0.0,3582.014808517603,0.0,0.0,0.0
0.123060196075353,0.0,0.0,0.0,0.0,3579.9315044088908,0.0,0.0,0.0
0.123131198882311,0.0,0.0,0.0,0.0,3577.854198037679,0.0,0.0,0.0
0.123202201689268,0.0,0.0,0.0,0.0,3575.783032076434,0.0,0.0,0.0
0.123273204496226,0.0,0.0,0.0,0.0,3573.7183165569318,0.0,0.0,0.0
0.123372570885627,0.0,0.0,0.0,0.0,3570.8400112367094,0.0,0.0,0.0
0.123471937275029,0.0,0.0,0.0,0.0,3567.9755743065675,0.0,0.0,0.0
0.123548896884065,0.0,0.0,0.0,0.0,3565.766837267989,0.0,0.0,0.0
0.123625856493102,0.0,0.0,0.0,0.0,3563.5671081492696,0.0,0.0,0.0
0.123702816102138,0.0,0.0,0.0,0.0,3561.3765604486434,0.0,0.0,0.0
0.123779775711175,0.0,0.0,0.0,0.0,3559.1955306805617,0.0,0.0,0.0
0.123835324440053,0.0,0.0,0.0,0.0,3557.627271184911,0.0,0.0,0.0
0.123890873168931,0.0,0.0,0.0,0.0,3556.064181585883,0.0,0.0,0.0
0.123986439754382,0.0,0.0,0.0,0.0,3553.3873695031753,0.0,0.0,0.0
0.124082006339832,0.0,0.0,0.0,0.0,3550.7267200800216,0.0,0.0,0.0
0.124177572925283,0.0,0.0,0.0,0.0,3548.082586619417,0.0,0.0,0.0
