TIME,AX,AY,AngACC,X,Y,R
0.0268888972223482,-1.84729051941474e-05,-2.84936570414534e-07,-1.27616141601312e-06,77.0000000002757,-147.999999999859,3.79423385573996e-08
0.0284444486111741,-2.08223953004012e-05,-3.00156010500393e-07,-7.37860440769549e-07,77.0000000001429,-147.999999992549,3.6392208109686e-08
0.03,-2.95495439853542e-05,-4.66689458883722e-07,-1.62573801778551e-06,77.0000000000189,-147.99999998581,3.41895517381658e-08
0.0338470430585425,-5.13871554508547e-05,-1.01657440741854e-06,-4.43825159053555e-06,76.9999999997772,-147.999999972797,2.2440912985189e-08
0.0376940861170849,-4.53802804020283e-05,-9.29864411450966e-07,-4.26887645614017e-06,76.9999999996557,-147.999999965994,7.57633056773807e-09
0.0415411291756274,-3.24213506254845e-05,-6.93076847920748e-07,-3.49466905794037e-06,76.9999999996536,-147.999999965135,-7.37886974401782e-09
0.0453881722341699,-1.62190353391524e-05,-3.65910536451384e-07,-1.94889393529271e-06,76.9999999997403,-147.999999968451,-1.73622593483022e-08
0.0470536279069925,-1.08373978725872e-05,-2.4556910428808e-07,-1.11027137626283e-06,76.9999999998013,-147.999999970976,-1.99092488331153e-08
0.0487190835798152,-1.94452177442093e-06,-6.76275111218379e-08,-3.09259523715128e-07,76.9999999998678,-147.999999973728,-2.11016133708195e-08
0.0503845392526378,6.42628787104318e-06,1.04030602977698e-07,4.84132785276314e-07,76.9999999999366,-147.999999976564,-2.09548775492105e-08
0.0520499949254605,1.22451159419314e-05,2.24902347236031e-07,1.17930396653613e-06,77.0000000000025,-147.999999979218,-1.95965681171997e-08
0.0560249974627302,2.28669450515024e-05,4.43629598504551e-07,2.25122900500775e-06,77.0000000001304,-147.999999983975,-1.27571356188343e-08
0.0574453532049808,2.54608019203778e-05,4.98590206365252e-07,2.46335410031935e-06,77.0000000001621,-147.999999984946,-9.40760268848315e-09
0.0588657089472313,2.65598041666389e-05,5.18716477469476e-07,2.54731540393669e-06,77.000000000184,-147.999999985418,-5.87903015039054e-09
0.0594328544736156,2.67517466955795e-05,5.24618771434041e-07,2.56721644001877e-06,77.00000000019,-147.999999985465,-4.42853910022618e-09
0.06,2.68072182162414e-05,5.28433213494558e-07,2.55130419402497e-06,77.0000000001943,-147.999999985427,-2.98040174487172e-09
0.0628357276319218,2.46395586888419e-05,4.90662497926925e-07,2.30532384768627e-06,77.0000000001917,-147.99999998401,3.9109260712349e-09
0.0656714552638435,1.97169424274655e-05,3.99923849481095e-07,1.80370240715402e-06,77.0000000001528,-147.999999980777,9.61787473152597e-09
0.0699082511766254,8.4124561272444e-06,1.96592672982088e-07,8.61233596781159e-07,77.0000000000409,-147.999999973335,1.52647584098549e-08
0.0741450470894072,-3.09885305400637e-06,-2.71603461627167e-08,-1.30296981851552e-07,76.9999999999022,-147.999999964769,1.67790250345887e-08
0.078381843002189,-1.22845587468167e-05,-2.18677114716423e-07,-9.53101797834109e-07,76.9999999997608,-147.999999956315,1.44724853025036e-08
0.0826186389149708,-1.60630380490037e-05,-3.10732620702831e-07,-1.40809607990072e-06,76.9999999996558,-147.999999949879,9.72642855291426e-09
0.0863093194574854,-1.51006172740793e-05,-3.08580148157641e-07,-1.4562666020499e-06,76.9999999996011,-147.999999946196,4.43130372483679e-09
0.09,-1.1277257879574e-05,-2.41094085673853e-07,-1.15829792886342e-06,76.9999999995837,-147.999999944339,-1.83676630758365e-10
0.0951132046013365,-3.2042909888945e-06,-8.30524843044047e-08,-4.11921665428144e-07,76.9999999996064,-147.999999943972,-4.19774914736685e-09
0.100226409202673,3.88426353404355e-06,6.42005379704859e-08,3.24955403070336e-07,76.9999999996447,-147.999999944183,-4.42806464646872e-09
0.100226888848374,3.88493370780626e-06,6.42137332423066e-08,3.25015768602851e-07,76.9999999996447,-147.999999944183,-4.42784892441243e-09
0.100226888848375,3.88493370780756e-06,6.42137332418823e-08,3.25015768597907e-07,76.9999999996447,-147.999999944183,-4.42784892441204e-09
0.10033627711825,4.00165973686615e-06,6.58043635616956e-08,3.25589804015401e-07,76.9999999996457,-147.999999944194,-4.39226696456093e-09
0.100445665388126,4.1415248148059e-06,6.7721427698057e-08,3.29081943505702e-07,76.9999999996466,-147.999999944204,-4.35640784176724e-09
0.100555053658002,4.30367026490187e-06,7.00454322890314e-08,3.37625617859234e-07,76.9999999996476,-147.999999944213,-4.31994838578692e-09
0.100664441927878,4.48155651303271e-06,7.28445628132826e-08,3.53046197588121e-07,76.9999999996486,-147.999999944222,-4.28204915864964e-09
